Band;FanfictionCount
BTS;169884
One Direction (Band);61598
NCT (Band);51666
EXO (Band);44190
SEVENTEEN (Band);27594
Stray Kids (Band);26409
My Chemical Romance;17376
GOT7;14328
Monsta X (Band);11556
ATEEZ (Band);11083
Fall Out Boy;10604
5 Seconds of Summer (Band);10043
Twenty One Pilots;8695
TOMORROW X TOGETHER | TXT (Korea Band);8498
Super Junior;7958
Panic! at the Disco;7715
Queen (Band);7705
TWICE (Band);7524
Arashi (Band);6946
YG Entertainment | YG Family;6892
Wanna One (Band);6097
1960s Music Scene RPF;6078
SHINee;6024
VIXX;5798
The Beatles (Band);5118
DBSK | Tohoshinki | TVfXQ | TVXQ;4691
Adam Lambert (Musician);4264
LOONA (Korea Band);3942
The Boyz (Korea Band);3922
Red Velvet (K-pop Band);3731
NINE PERCENT (Band);3689
Hey! Say! JUMP (Band);3530
Day6 (Band);3414
Vocaloid;3255
ENHYPEN (Band);3227
iKON (Korea Band);2786
BLACKPINK (Band);2712
X1 (Korea Band);2628
Big Bang (Band);2534
NU'EST;2452
Dreamcatcher (Korea Band);2442
创造101 | Produce 101 (China TV);2404
INFINITE (Band);2339
ONEUS (Band);2266
Ghost - Ambiguous Fandom;2249
B.A.P;2232
ASTRO (Band);2215
Ghost (Sweden Band);2208
Gorillaz;2207
the GazettE (Band);2131
Kanjani8 (Band);2033
Mamamoo;1940
The Mechanisms (Band);1934
KAT-TUN (Band);1877
MIRROR (Hong Kong Band);1797
Pentagon (Korea Band);1774
TFBOYS (Band);1762
All Time Low (Band);1758
SuperM (Korea Band);1713
R1SE (Band);1644
Winner (Band);1554
告白実行委員会 | Confession Executive Committee;1538
KinKi Kids (Band);1457
JJ Project;1456
Backstreet Boys;1442
Rammstein;1383
Cobra Starship;1381
VICTON (Band);1378
NEWS (Japan Band);1368
ONER (Band);1365
NSYNC;1354
SF9 (Band);1337
Tommy Ratliff (Musician);1282
A.C.E (Beat Interactive Band);1280
JYJ (Band);1255
Kagerou Project;1214
Tokio Hotel;1209
TREASURE (Korea Band);1163
Dir en grey;1160
JO1 (Japan Band);1097
Taylor Swift (Musician);1086
Mystery Skulls Animated;1077
Eurovision Song Contest RPF;1062
Block B (Band);1059
소녀시대 | Girls' Generation | SNSD;1059
Guns N' Roses;1058
Disney RPF;1034
IZONE (Band);1028
UP10TION;1025
ITZY (Band);1018
Muse (Band);992
The Academy Is...;985
(여자)아이들 | (G)I-DLE;962
Hanson (Band);937
Oasis (Band);922
SixTONES (Band);911
Hadestown - Mitchell;909
Steam Powered Giraffe;874
Electronic Dance Music RPF;871
Kris Allen (Musician);860
Golden Child (Korea Band);834
Mötley Crüe;834
SB19 (Band);829
Waterparks (Band);827
Fifth Harmony (Band);801
Cravity (Band);787
Festival di Sanremo RPF;760
Måneskin (Band);753
Led Zeppelin;747
30 Seconds to Mars;746
Last Shadow Puppets;733
Arctic Monkeys;717
Pentatonix;701
f(x);700
AKB48 & Related Fandoms;698
Pierce the Veil;678
Little Mix (Band);663
Green Day;658
Finnish Music RPF;657
Canadian Music RPF;656
Slipknot (Band);640
ONF (Band);639
AB6IX (Band);634
BTOB (Band);622
British Singers RPF;619
C-Pop;618
Black Veil Brides;614
UNIQ (Band);613
Metallica;608
Kis-My-Ft2 (Band);604
ONEWE (Band);600
UNINE (Band);596
EXILE (Japan Band);588
Jonas Brothers;567
우주소녀 | Cosmic Girls | WJSN;565
Take That (Band);557
Ylvis RPF;557
Indie Music RPF;555
Sleeping With Sirens;552
Linkin Park;542
SNH48;522
Johnny's Jr.;516
Duran Duran;515
Sexy Zone (Band);515
Blind Channel (Band);512
The Used;505
Superfruit;502
Bastille (Band);498
Young Veins;496
Produce 101 (Japan TV);480
A9 | Alice Nine (Band);471
Bon Jovi (Band);470
歌い手 | Utaite;459
Glam Rock RPF;451
X Factor RPF;450
PRISTIN (Band);448
Tiny Meat Gang (Band);448
Shawn Mendes (Musician);447
Marilyn Manson (Band);435
ONE OK ROCK;432
David Bowie (Musician);431
Daft Punk;417
Kane (Band);417
Aespa (Band);408
여자친구 | GFriend (Band);406
INTO1 (Band);399
Paramore;398
Avenged Sevenfold;397
Blur (Band);394
时代少年团 | Teens in Times (Band);389
The Monkees (Band);386
Evillious Chronicles;377
Super Junior-M;369
Machine Gun Kelly (Musician);368
TWRP | Tupper Ware Remix Party (Band);364
The Smiths;362
