BandName,AlbumName,ReleaseDate
BTS,BE,2020-11-20
BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14
BTS,MAP OF THE SOUL : 7,2020-02-28
BTS,MAP OF THE SOUL : PERSONA,2019-04-12
BTS,Love Yourself 結 'Answer',2018-08-24
BTS,Love Yourself 轉 'Tear',2018-05-18
BTS,FACE YOURSELF,2018-04-04
BTS,Love Yourself 承 'Her',2017-09-18
BTS,You Never Walk Alone,2017-02-13
BTS,Wings,2016-10-10
BTS,Youth,2016-09-07
BTS,YOUTH,2016-09-07
One Direction,Made In The A.M. (Deluxe Edition),2015-11-13
One Direction,FOUR (Deluxe),2014-11-17
One Direction,Midnight Memories (Deluxe),2013-11-25
One Direction,Take Me Home (Expanded Edition),2012-11-12
One Direction,Up All Night,2012-05-25
NCT 127,Favorite - The 3rd Album Repackage,2021-10-25
NCT 127,Sticker - The 3rd Album,2021-09-17
NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19
NCT 127,NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage,2020-05-19
NCT 127,NCT #127 Neo Zone - The 2nd Album,2020-03-06
NCT 127,NEO CITY : SEOUL– The Origin – The 1st Live Album,2019-10-24
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,2019-05-24
NCT 127,Awaken,2019-04-17
NCT 127,NCT #127 Regulate - The 1st Album Repackage,2018-11-23
NCT 127,NCT #127 Regular-Irregular - The 1st Album,2018-10-12
NCT 127,NCT #127 CHERRY BOMB– The 3rd Mini Album,2017-06-14
NCT 127,NCT #127 - The 1st Mini Album,2016-07-10
EXO,EXO PLANET #5 –EXplOration– Live Album,2020-04-21
EXO,OBSESSION - The 6th Album,2019-11-27
EXO,EXO PLANET #4–The EℓyXiOn [dot]–Live Album,2019-01-30
EXO,LOVE SHOT– The 5th Album Repackage,2018-12-13
EXO,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02
EXO,COUNTDOWN,2018-01-31
EXO,EXO PLANET #3 -The EXO'rDIUM[dot]- Live Album,2017-10-25
EXO,THE WAR - The 4th Album,2017-07-18
EXO,THE WAR - The 4th Album (Chinese Version),2017-07-18
EXO,LOTTO - The 3rd Album Repackage,2016-08-18
EXO,EX'ACT - The 3rd Album,2016-06-09
EXO,LOVE ME RIGHT - The 2nd Album Repackage,2015-06-03
EXO,LOVE ME RIGHT - The 2nd Album Repackage (Chinese Version),2015-06-03
EXO,EXODUS - The 2nd Album,2015-03-30
EXO,EXODUS - The 2nd Album (Chinese Version),2015-03-30
EXO,EXOLOGY CHAPTER 1: THE LOST PLANET (Live),2014-12-23
EXO,The 1st Album 'XOXO' (Repackage),2013-08-05
SEVENTEEN,SEVENTEEN 9th Mini Album 'Attacca',2021-10-22
SEVENTEEN,An Ode,2019-09-16
SEVENTEEN,"SEVENTEEN 2ND ALBUM 'TEEN, AGE'",2017-11-06
SEVENTEEN,Love&Letter repackage album,2016-07-04
SEVENTEEN,FIRST 'LOVE&LETTER',2016-04-25
Stray Kids,SKZ2021,2021-12-23
Stray Kids,NOEASY,2021-08-23
